Sample,True Genre,Predicted Genre
0,blues,hiphop
1,blues,hiphop
2,blues,hiphop
3,blues,hiphop
4,blues,hiphop
5,blues,hiphop
6,blues,hiphop
7,blues,hiphop
8,blues,hiphop
9,blues,hiphop
10,classical,hiphop
11,classical,hiphop
12,classical,hiphop
13,classical,hiphop
14,classical,hiphop
15,classical,hiphop
16,classical,hiphop
17,classical,hiphop
18,classical,hiphop
19,classical,hiphop
20,country,hiphop
21,country,hiphop
22,country,hiphop
23,country,hiphop
24,country,hiphop
25,country,hiphop
26,country,hiphop
27,country,hiphop
28,country,hiphop
29,country,hiphop
30,disco,hiphop
31,disco,hiphop
32,disco,hiphop
33,disco,hiphop
34,disco,hiphop
35,disco,hiphop
36,disco,hiphop
37,disco,hiphop
38,disco,hiphop
39,disco,hiphop
40,hiphop,hiphop
41,hiphop,hiphop
42,hiphop,hiphop
43,hiphop,hiphop
44,hiphop,hiphop
45,hiphop,hiphop
46,hiphop,hiphop
47,hiphop,hiphop
48,hiphop,hiphop
49,hiphop,hiphop
50,jazz,hiphop
51,jazz,hiphop
52,jazz,hiphop
53,jazz,hiphop
54,jazz,hiphop
55,jazz,hiphop
56,jazz,hiphop
57,jazz,hiphop
58,jazz,hiphop
59,jazz,hiphop
60,metal,hiphop
61,metal,hiphop
62,metal,hiphop
63,metal,hiphop
64,metal,hiphop
65,metal,hiphop
66,metal,hiphop
67,metal,hiphop
68,metal,hiphop
69,metal,hiphop
70,pop,hiphop
71,pop,hiphop
72,pop,hiphop
73,pop,hiphop
74,pop,hiphop
75,pop,hiphop
76,pop,hiphop
77,pop,hiphop
78,pop,hiphop
79,pop,hiphop
80,reggae,hiphop
81,reggae,hiphop
82,reggae,hiphop
83,reggae,hiphop
84,reggae,hiphop
85,reggae,hiphop
86,reggae,hiphop
87,reggae,hiphop
88,reggae,hiphop
89,reggae,hiphop
90,rock,hiphop
91,rock,hiphop
92,rock,hiphop
93,rock,hiphop
94,rock,hiphop
95,rock,hiphop
96,rock,hiphop
97,rock,hiphop
98,rock,hiphop
99,rock,hiphop
