Sample,True Genre,Predicted Genre
0,blues,blues
1,blues,blues
2,blues,blues
3,blues,blues
4,blues,blues
5,blues,blues
6,blues,blues
7,blues,blues
8,blues,blues
9,blues,blues
10,classical,blues
11,classical,blues
12,classical,classical
13,classical,blues
14,classical,blues
15,classical,blues
16,classical,blues
17,classical,blues
18,classical,blues
19,classical,blues
20,country,blues
21,country,blues
22,country,blues
23,country,blues
24,country,blues
25,country,blues
26,country,blues
27,country,blues
28,country,blues
29,country,blues
30,disco,blues
31,disco,blues
32,disco,blues
33,disco,blues
34,disco,blues
35,disco,blues
36,disco,blues
37,disco,blues
38,disco,blues
39,disco,blues
40,hiphop,blues
41,hiphop,blues
42,hiphop,blues
43,hiphop,blues
44,hiphop,blues
45,hiphop,blues
46,hiphop,blues
47,hiphop,blues
48,hiphop,blues
49,hiphop,blues
50,jazz,blues
51,jazz,blues
52,jazz,blues
53,jazz,blues
54,jazz,blues
55,jazz,blues
56,jazz,blues
57,jazz,blues
58,jazz,blues
59,jazz,blues
60,metal,blues
61,metal,blues
62,metal,blues
63,metal,blues
64,metal,blues
65,metal,blues
66,metal,blues
67,metal,blues
68,metal,blues
69,metal,blues
70,pop,blues
71,pop,blues
72,pop,blues
73,pop,blues
74,pop,blues
75,pop,blues
76,pop,blues
77,pop,blues
78,pop,blues
79,pop,blues
80,reggae,blues
81,reggae,blues
82,reggae,blues
83,reggae,blues
84,reggae,blues
85,reggae,blues
86,reggae,blues
87,reggae,blues
88,reggae,blues
89,reggae,blues
90,rock,blues
91,rock,blues
92,rock,blues
93,rock,blues
94,rock,blues
95,rock,blues
96,rock,blues
97,rock,blues
98,rock,blues
99,rock,blues
