Sample,True Genre,Predicted Genre
0,blues,jazz
1,blues,blues
2,blues,jazz
3,blues,blues
4,blues,jazz
5,blues,blues
6,blues,blues
7,blues,blues
8,blues,jazz
9,blues,blues
10,classical,jazz
11,classical,jazz
12,classical,jazz
13,classical,jazz
14,classical,jazz
15,classical,jazz
16,classical,jazz
17,classical,blues
18,classical,jazz
19,classical,blues
20,country,jazz
21,country,jazz
22,country,jazz
23,country,jazz
24,country,jazz
25,country,jazz
26,country,jazz
27,country,jazz
28,country,jazz
29,country,jazz
30,disco,jazz
31,disco,jazz
32,disco,jazz
33,disco,jazz
34,disco,jazz
35,disco,jazz
36,disco,jazz
37,disco,jazz
38,disco,jazz
39,disco,jazz
40,hiphop,jazz
41,hiphop,jazz
42,hiphop,jazz
43,hiphop,jazz
44,hiphop,blues
45,hiphop,jazz
46,hiphop,blues
47,hiphop,jazz
48,hiphop,jazz
49,hiphop,jazz
50,jazz,classical
51,jazz,jazz
52,jazz,jazz
53,jazz,jazz
54,jazz,jazz
55,jazz,jazz
56,jazz,jazz
57,jazz,jazz
58,jazz,jazz
59,jazz,jazz
60,metal,jazz
61,metal,jazz
62,metal,jazz
63,metal,jazz
64,metal,jazz
65,metal,blues
66,metal,jazz
67,metal,jazz
68,metal,jazz
69,metal,jazz
70,pop,jazz
71,pop,jazz
72,pop,jazz
73,pop,jazz
74,pop,jazz
75,pop,blues
76,pop,jazz
77,pop,jazz
78,pop,jazz
79,pop,jazz
80,reggae,jazz
81,reggae,jazz
82,reggae,jazz
83,reggae,blues
84,reggae,jazz
85,reggae,jazz
86,reggae,blues
87,reggae,jazz
88,reggae,jazz
89,reggae,blues
90,rock,jazz
91,rock,jazz
92,rock,jazz
93,rock,blues
94,rock,blues
95,rock,jazz
96,rock,jazz
97,rock,jazz
98,rock,jazz
99,rock,blues
